detect,MJD,BAND,CCDNUM,FIELD,PHOTPROB,FLUXCAL,FLUXCALERR,PSF_SIG1,PSF_SIG2,PSF_RATIO,SKY_SIG,SKY_SIG_T,RDNOISE,ZEROPT,ZEROPT_ERR,GAIN,XPIX,YPIX,SIM_FLUXCAL_HOSTERR,SIM_MAGOBS
0,0.0,r ,-9,VOID        ,-9.0,0,4.84,1.88,0.0,0.0,26.76,0.0,0.25,31.54,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.0,r ,-9,VOID        ,-9.0,-10,4.54,1.88,0.0,0.0,26.76,0.0,0.25,31.54,0.005,1.0,-9.0,-9.0,0.0,28.160587
0,0.0030000000000427463,r ,-9,VOID        ,-9.0,8,4.7,1.8,0.0,0.0,29.73,0.0,0.25,31.56,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.0030000000000427463,r ,-9,VOID        ,-9.0,-7,4.19,1.76,0.0,0.0,28.18,0.0,0.25,31.56,0.005,1.0,-9.0,-9.0,0.0,34.429768
0,0.007000000000061846,r ,-9,VOID        ,-9.0,-13,6.74,2.38,0.0,0.0,32.22,0.0,0.25,31.54,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.012000000000057298,r ,-9,VOID        ,-9.0,-11,6.13,2.11,0.0,0.0,35.0,0.0,0.25,31.58,0.005,1.0,-9.0,-9.0,0.0,31.692038
0,0.013000000000033651,r ,-9,VOID        ,-9.0,1,7.08,2.19,0.0,0.0,36.64,0.0,0.25,31.57,0.005,1.0,-9.0,-9.0,0.0,99.0
1,0.015000000000100044,r ,-9,VOID        ,-9.0,43,6.05,1.95,0.0,0.0,36.82,0.0,0.25,31.61,0.005,1.0,-9.0,-9.0,0.0,23.475313
0,0.58400000000006,z ,-9,VOID        ,-9.0,-30,14.53,1.95,0.0,0.0,102.41,0.0,0.35,31.74,0.005,1.0,-9.0,-9.0,0.0,27.481632
0,0.5960000000000036,i ,-9,VOID        ,-9.0,12,16.38,2.25,0.0,0.0,69.77,0.0,0.25,31.34,0.005,1.0,-9.0,-9.0,0.0,33.05897
0,0.5960000000000036,i ,-9,VOID        ,-9.0,-24,15.87,2.24,0.0,0.0,67.95,0.0,0.25,31.34,0.005,1.0,-9.0,-9.0,0.0,24.969091
0,0.5990000000000464,i ,-9,VOID        ,-9.0,-9,11.97,2.27,0.0,0.0,95.03,0.0,0.35,32.08,0.005,1.0,-9.0,-9.0,0.0,32.18033
0,0.6000000000000227,i ,-9,VOID        ,-9.0,-30,16.38,2.35,0.0,0.0,65.67,0.0,0.25,31.31,0.005,1.0,-9.0,-9.0,0.0,32.82127
0,0.6000000000000227,i ,-9,VOID        ,-9.0,13,16.42,2.35,0.0,0.0,65.67,0.0,0.25,31.31,0.005,1.0,-9.0,-9.0,0.0,25.074793
0,0.6170000000000755,z ,-9,VOID        ,-9.0,35,17.15,1.8,0.0,0.0,63.52,0.0,0.25,30.94,0.005,1.0,-9.0,-9.0,0.0,24.214045
0,0.6170000000000755,z ,-9,VOID        ,-9.0,18,17.09,1.8,0.0,0.0,63.52,0.0,0.25,30.94,0.005,1.0,-9.0,-9.0,0.0,31.025097
